Seccion,Circuito,Nombre Seccion,Nombre Circuito,Electores 2007,Electores 2011,Electores 2013,Electores 2015,Electores 2017
14,201,RIO PRIMERO,COLONIA LAS CUATRO ESQUINAS,126,108,100,114,122
14,208,RIO PRIMERO,COMECHINGONES,369,330,319,311,310
14,200,RIO PRIMERO,DIEGO DE ROJAS,490,509,503,503,508
14,221,RIO PRIMERO,EL ALCALDE,199,159,141,116,110
14,212B,RIO PRIMERO,EL CRISPIN,235,227,253,253,268
14,202,RIO PRIMERO,ESQUINA,459,325,327,341,327
14,204,RIO PRIMERO,LA PARA,"2,955","3,190","3,470","3,669","3,769"
14,197,RIO PRIMERO,LA POSTA,407,353,328,337,345
14,205,RIO PRIMERO,LA PUERTA,"1,677","1,780","1,879","2,012","2,102"
14,215A,RIO PRIMERO,LA QUINTA,227,222,239,255,229
14,201A,RIO PRIMERO,LAS GRAMILLAS,144,129,133,137,142
14,206,RIO PRIMERO,LAS HERAS,144,100,84,61,57
14,207,RIO PRIMERO,LAS SALADAS,261,249,250,257,258
14,209,RIO PRIMERO,MAQUINISTA GALLINI,253,201,191,182,164
14,211,RIO PRIMERO,MONTE CRISTO,"6,272","6,926","8,217","9,441","10,150"
14,212,RIO PRIMERO,MONTE DEL ROSARIO,253,191,171,146,131
14,213,RIO PRIMERO,OBISPO TREJO,"2,071","2,173","2,225","2,407","2,467"
14,203,RIO PRIMERO,PEDRO E.VIVAS,283,345,361,352,363
14,214,RIO PRIMERO,PIQUILLIN,"1,569","1,602","1,666","1,676","1,699"
14,215,RIO PRIMERO,PLAZA DE MERCEDES,141,130,146,140,126
14,216,RIO PRIMERO,PUNTA DEL AGUA,75,53,44,38,37
14,217,RIO PRIMERO,QUEBRACHO,177,139,124,93,85
14,218,RIO PRIMERO,RIO PRIMERO,"5,385","5,722","6,242","6,644","6,965"
14,219,RIO PRIMERO,SAGRADA FAMILIA,274,220,204,181,175
14,222,RIO PRIMERO,VILLA FONTANA,959,942,942,911,933
14,220,RIO PRIMERO,VILLA SANTA ROSA,"5,990","6,315","6,836","7,267","7,465"
15,223,RIO SECO,CANDELARIA NORTE,858,749,770,764,825
15,227B,RIO SECO,CERRO COLORADO,234,279,295,339,351
15,227C,RIO SECO,CHAÑAR VIEJO,172,210,209,207,204
15,224,RIO SECO,ENCRUCIJADA,101,75,50,42,43
15,229A,RIO SECO,EUFRASIO LOZA,238,215,209,205,205
15,225,RIO SECO,GUTEMBERG,884,825,839,860,898
15,225A,RIO SECO,LA CAÑADA,226,146,124,89,85
15,226,RIO SECO,LOS HOYOS,476,454,441,453,447
15,226A,RIO SECO,PUESTO DE CASTRO,365,400,374,439,405
15,227,RIO SECO,RAYO CORTADO,623,613,632,700,743
15,227A,RIO SECO,RINCONADA,452,456,464,466,463
15,227D,RIO SECO,SANTA ELENA,270,292,311,346,350
15,228,RIO SECO,SEBASTIAN ELCANO,"2,373","2,280","2,449","2,514","2,589"
15,229,RIO SECO,VILLA DE MARIA,"3,678","3,942","4,421","4,823","5,088"
16,230,RIO SEGUNDO,CALCHIN,"1,876","1,996","2,056","2,150","2,211"
16,230A,RIO SEGUNDO,CALCHIN OESTE,628,604,647,668,668
16,242A,RIO SEGUNDO,CAÑADA DE MACHADO SUD,55,32,24,17,8
16,231,RIO SEGUNDO,CAPILLA DEL CARMEN,329,338,346,364,391
16,232,RIO SEGUNDO,CARRILOBO,"1,593","1,649","1,705","1,705","1,735"
16,233,RIO SEGUNDO,COLAZO,"1,326","1,384","1,404","1,373","1,377"
16,236A,RIO SEGUNDO,COLONIA VIDELA,54,37,36,45,47
16,234,RIO SEGUNDO,COSTA SACATE,"1,400","1,413","1,426","1,377","1,386"
16,235,RIO SEGUNDO,LAGUNA LARGA,"6,080","6,353","6,643","6,824","6,806"
16,236,RIO SEGUNDO,LAS JUNTURAS,"1,397","1,473","1,495","1,545","1,552"
16,244A,RIO SEGUNDO,LOS CHAÑARITOS,275,281,285,278,292
16,237,RIO SEGUNDO,LUQUE,"4,321","4,694","5,185","5,555","5,751"
16,237A,RIO SEGUNDO,MANFREDI,768,785,830,918,941
16,238,RIO SEGUNDO,MATORRALES,937,953,971,956,973
16,239,RIO SEGUNDO,ONCATIVO,"10,974","11,312","11,812","11,976","12,193"
16,240,RIO SEGUNDO,PILAR,"9,933","10,830","11,371","12,441","13,127"
16,241,RIO SEGUNDO,POZO DEL MOLLE,"4,852","5,110","5,236","5,578","5,585"
16,237B,RIO SEGUNDO,PUEBLO LUDUEÑA,205,180,179,189,197
16,242,RIO SEGUNDO,RINCON,394,396,425,446,469
16,243,RIO SEGUNDO,RIO SEGUNDO,"14,763","15,592","16,871","17,700","18,052"
16,244,RIO SEGUNDO,SANTIAGO TEMPLE,"2,171","2,280","2,364","2,425","2,448"
16,245,RIO SEGUNDO,VILLA DEL ROSARIO,"10,796","11,385","12,340","13,005","13,476"
17,249,ROQUE SAENZ PEÑA,LA CESIRA,"1,158","1,269","1,269","1,399","1,433"
17,248,ROQUE SAENZ PEÑA,LABOULAYE,"16,514","16,994","17,566","18,058","18,335"
17,251,ROQUE SAENZ PEÑA,LEGUIZAMON,172,119,106,120,139
17,252,ROQUE SAENZ PEÑA,LEVALLE,"4,609","4,733","4,968","5,066","5,116"
17,253,ROQUE SAENZ PEÑA,MELO,"1,058","1,106","1,102","1,147","1,150"
17,254,ROQUE SAENZ PEÑA,RIO BAMBA,105,86,84,99,101
17,255,ROQUE SAENZ PEÑA,ROSALES,539,511,511,540,545
17,256,ROQUE SAENZ PEÑA,SAN JOAQUIN,145,124,129,146,146
17,257,ROQUE SAENZ PEÑA,SERRANO,"2,669","2,742","2,835","3,034","3,072"
17,258,ROQUE SAENZ PEÑA,VILLA ROSSI,611,558,574,568,581
18,259,SAN ALBERTO,ALTAUTINA,73,47,30,21,19
18,260,SAN ALBERTO,AMBUL,960,959,974,944,"1,022"
18,263C,SAN ALBERTO,ARROYO DE LOS PATOS,266,379,444,610,713
18,261,SAN ALBERTO,BROCHERO,"4,087","4,740","5,158","5,650","5,979"
18,260A,SAN ALBERTO,EL VOLCAN,67,63,60,35,37
18,265B,SAN ALBERTO,LA CORTADERA,142,132,118,82,78
18,263D,SAN ALBERTO,LAS CALLES,392,429,466,506,535
18,263E,SAN ALBERTO,LAS RABONAS,537,612,648,717,779
18,263B,SAN ALBERTO,LOS CERROS,47,42,35,20,24
18,264A,SAN ALBERTO,LOS ESPINILLOS,243,224,230,223,253
18,262,SAN ALBERTO,MINA CLAVERO,"6,202","6,856","7,625","8,252","8,822"
18,263,SAN ALBERTO,NONO,"1,731","1,985","2,130","2,381","2,462"
18,263A,SAN ALBERTO,PAMPA DE ACHALA,228,175,163,122,142
18,264,SAN ALBERTO,PANAHOLMA,296,303,320,396,399
18,261A,SAN ALBERTO,SAN LORENZO,638,729,814,961,"1,053"
18,265,SAN ALBERTO,SAN PEDRO,"3,293","3,729","3,992","4,175","4,588"
18,266A,SAN ALBERTO,SAN RAFAEL,273,248,240,158,150
18,266,SAN ALBERTO,SAN VICENTE,"1,219","1,270","1,377","1,404","1,432"
18,265C,SAN ALBERTO,SAUCE ARRIBA,541,606,672,797,865
18,261B,SAN ALBERTO,VILLA BENEGAS,71,67,63,48,48
18,265A,SAN ALBERTO,VILLA SARMIENTO,"3,534","4,021","4,234","4,457","4,694"
19,267,SAN JAVIER,CONLARA,381,363,391,401,430
19,268,SAN JAVIER,DOLORES,"22,840","23,687","25,603","27,232","28,139"
19,269B,SAN JAVIER,EL MANANTIAL,65,42,29,29,34
19,269,SAN JAVIER,LA PAZ,"2,241","2,402","2,574","2,852","3,062"
19,274A,SAN JAVIER,LA POBLACION,315,336,355,459,503
19,270,SAN JAVIER,LAS ROSAS,"3,246","3,371","3,771","4,364","4,780"
19,271,SAN JAVIER,LAS TAPIAS,"1,086","1,223","1,347","1,523","1,648"
19,275A,SAN JAVIER,LOS CERRILLOS,"1,389","1,580","1,717","2,021","2,299"
19,272,SAN JAVIER,LOS HORNILLOS,892,903,978,"1,169","1,283"
19,273,SAN JAVIER,LUYABA,"1,024",982,"1,062","1,208","1,298"
19,269A,SAN JAVIER,QUEBRACHO LADEADO,170,170,155,254,398
19,274,SAN JAVIER,SAN JAVIER,936,971,814,724,841
19,275,SAN JAVIER,SAN JOSE,"1,809","1,889","1,963","2,119","2,206"
19,276,SAN JAVIER,YACANTO,384,459,787,"1,177","1,236"
20,277,SAN JUSTO,ALICIA,"2,703","2,836","2,968","3,015","2,927"
20,278,SAN JUSTO,ALTOS DE CHIPION,"1,553","1,643","1,769","1,853","1,886"
20,279,SAN JUSTO,ARROYITO,"16,042","17,524","18,878","19,673","20,379"
20,280,SAN JUSTO,BALNEARIA,"5,084","5,367","5,554","5,618","5,721"
20,281,SAN JUSTO,BEIRO,254,209,159,155,192
20,282,SAN JUSTO,BRINKMANN,"7,261","7,612","8,151","8,482","8,759"
20,291A,SAN JUSTO,COLONIA ANITA,108,92,83,79,78
20,283A,SAN JUSTO,COLONIA PICHANAS,163,203,192,170,182
20,294A,SAN JUSTO,COLONIA VALTELINA,207,217,195,182,171
20,283,SAN JUSTO,CONCEPCION,"1,654","1,606","1,659","1,767","1,826"
20,285,SAN JUSTO,DEVOTO,"4,923","5,177","5,246","5,509","5,611"
20,286,SAN JUSTO,DIEZ DE JULIO,175,161,159,151,182
20,287,SAN JUSTO,DOS HERMANOS,180,149,141,125,144
20,288,SAN JUSTO,EL ARAÑADO,"1,736","1,784","1,873","1,965","1,956"
20,289,SAN JUSTO,EL FORTIN,"1,026","1,092","1,138","1,212","1,206"
20,279A,SAN JUSTO,EL FUERTECITO,590,486,396,373,375
20,290,SAN JUSTO,EL TIO,"1,544","1,678","1,698","1,850","1,901"
20,291,SAN JUSTO,FREYRE,"5,134","5,502","5,953","6,152","6,151"
20,292,SAN JUSTO,ITURRASPE,155,152,145,112,112
20,293,SAN JUSTO,LA FRANCIA,"3,125","3,271","3,423","3,530","3,581"
20,294,SAN JUSTO,LA PAQUITA,887,952,968,987,"1,018"
20,295,SAN JUSTO,LA TORDILLA,"1,413","1,430","1,476","1,566","1,596"
20,297,SAN JUSTO,LAS VARAS,"1,149","1,180","1,177","1,177","1,222"
20,298,SAN JUSTO,LAS VARILLAS,"12,421","13,235","14,008","14,687","14,980"
20,296,SAN JUSTO,LASPIUR,"2,199","2,187","2,201","2,376","2,386"
20,299,SAN JUSTO,LUXARDO,371,399,370,358,364
20,300,SAN JUSTO,MARINA,"1,148","1,207","1,233","1,208","1,183"
20,301,SAN JUSTO,MARULL,"1,678","1,705","1,759","1,757","1,770"
20,302,SAN JUSTO,MAUNIER,162,157,147,113,134
20,303,SAN JUSTO,MIRAMAR DE ANSENUZA (el DE ANSEUNZA se agrega en 2017),"1,854","1,869","2,023","2,081","2,148"
20,304,SAN JUSTO,MORTEROS,"13,255","14,013","14,947","15,829","16,673"
20,305,SAN JUSTO,PORTEÑA,"4,168","4,384","4,683","4,967","5,155"
20,306,SAN JUSTO,PROSPERIDAD,481,503,524,553,548
20,307,SAN JUSTO,QUEBRACHO HERRADO,579,635,602,653,658
20,308,SAN JUSTO,SACANTA,"2,685","2,771","2,791","2,940","2,984"
20,309,SAN JUSTO,SAN BARTOLOME,"1,319","1,369","1,452","1,549","1,728"
20,310A,SAN JUSTO,SAN FRANCISCO SECC. NORTE,"24,016","25,070","26,071","27,103","28,054"
20,310,SAN JUSTO,SAN FRANCISCO SECC. SUR,"26,054","26,663","27,283","27,763","28,395"
20,311,SAN JUSTO,SAN PEDRO,205,265,281,264,238
20,312,SAN JUSTO,SAUZE,75,48,36,22,17
20,313,SAN JUSTO,SEEBER,659,639,637,659,706
20,295A,SAN JUSTO,TORO PUJIO,187,203,207,252,291
20,314,SAN JUSTO,TRANSITO,"2,737","2,847","2,855","3,044","3,105"
20,315,SAN JUSTO,VIGNAUD,513,597,624,645,685
20,288A,SAN JUSTO,VILLA SAN ESTEBAN,127,127,115,189,194
21,316,SANTA MARIA,ALTA GRACIA,"34,151","37,155","39,656","41,867","43,769"
21,316A,SANTA MARIA,ANIZACATE,"1,832","2,405","2,951","4,043","4,759"
21,317,SANTA MARIA,BAJO CHICO,204,217,227,298,324
21,326B,SANTA MARIA,BARRIO PRIMERO DE MAYO,701,836,"1,045","1,348","1,730"
21,319,SANTA MARIA,BOUWER,"1,131","1,431","1,532","1,553","1,601"
21,320,SANTA MARIA,BUENA VISTA,110,65,52,27,19
21,322,SANTA MARIA,COSME,176,105,87,50,48
21,323,SANTA MARIA,DESPEÑADEROS,"4,891","5,051","5,335","5,604","5,951"
21,324,SANTA MARIA,FALDA DEL CARMEN,894,836,994,"1,266","1,433"
21,330A,SANTA MARIA,JOSE DE LA QUINTANA,513,470,454,514,578
21,316B,SANTA MARIA,LA PAISANITA,93,106,131,165,173
21,316C,SANTA MARIA,LA RANCHERITA,104,114,135,159,167
21,316D,SANTA MARIA,LA SERRANITA,269,307,344,427,471
21,316E,SANTA MARIA,LOS CEDROS,594,826,909,"1,136","1,219"
21,325,SANTA MARIA,LOZADA,"1,366","1,344","1,363","1,414","1,419"
21,326,SANTA MARIA,MALAGUEÑO,"5,393","5,806","6,460","6,972","7,295"
21,327,SANTA MARIA,MONTE RALO,524,485,469,488,481
21,328,SANTA MARIA,POTRERO DE GARAY,646,899,972,"1,241","1,363"
21,318,SANTA MARIA,RAFAEL GARCIA,628,611,633,648,648
21,329,SANTA MARIA,SAN CLEMENTE,190,161,176,185,201
21,330,SANTA MARIA,SAN ISIDRO,446,476,555,623,650
21,326C,SANTA MARIA,SAN NICOLAS,,497,879,"1,744","2,461"
21,331,SANTA MARIA,TOLEDO,"3,208","3,480","3,660","4,299","4,742"
21,316F,SANTA MARIA,VALLE DE ANIZACATE,302,420,488,793,"1,040"
21,328B,SANTA MARIA,VILLA CIUDAD DE AMERICA,513,515,578,744,850
21,316G,SANTA MARIA,VILLA EL PRADO,684,769,959,"1,365","1,717"
21,316H,SANTA MARIA,VILLA LA BOLSA,615,738,823,974,"1,103"
21,316I,SANTA MARIA,VILLA LOS AROMOS,547,624,662,850,956
21,316J,SANTA MARIA,VILLA PARQUE SANTA ANA,"1,399","1,611","1,883","2,572","2,999"
21,326A,SANTA MARIA,YOCSINA,"2,326","2,041","2,251","2,634","2,991"
22,333,SOBREMONTE,CAMINIAGA,525,436,429,453,442
22,335,SOBREMONTE,CHAÑAR,"2,300","2,348","2,451","2,548","2,733"
22,334,SOBREMONTE,CHUÑAHUASI,382,354,341,344,337
22,332,SOBREMONTE,POZO NUEVO,593,542,537,561,547
23,336,TERCERO ARRIBA,ALMAFUERTE,"8,813","9,273","9,832","10,335","10,624"
23,337,TERCERO ARRIBA,ASCASUBI,"2,111","2,183","2,210","2,264","2,309"
23,337A,TERCERO ARRIBA,CNIA ALMADA,556,543,556,565,562
23,338,TERCERO ARRIBA,CORRALITO,"1,609","1,647","1,614","1,673","1,695"
23,339,TERCERO ARRIBA,DALMACIO VELEZ,"1,166","1,265","1,347","1,407","1,455"
23,349A,TERCERO ARRIBA,GENERAL FOTHERINGHAM,347,354,366,352,340
23,340,TERCERO ARRIBA,HERNANDO,"9,066","9,155","9,511","9,882","10,077"
23,341,TERCERO ARRIBA,JAMES CRAIK,"4,233","4,301","4,471","4,581","4,627"
23,347A,TERCERO ARRIBA,LAS ISLETILLAS,265,278,268,262,260
23,342,TERCERO ARRIBA,LAS PERDICES,"3,758","3,962","4,034","4,278","4,401"
23,343,TERCERO ARRIBA,LOS ZORROS,662,633,608,603,621
23,344,TERCERO ARRIBA,OLIVA,"10,583","10,670","10,982","11,264","11,354"
23,345,TERCERO ARRIBA,PAMPAYASTA NORTE,447,412,412,425,424
23,346,TERCERO ARRIBA,PAMPAYASTA SUD,"1,203","1,243","1,269","1,271","1,274"
23,347,TERCERO ARRIBA,PUNTA DEL AGUA,242,243,234,227,226
23,348,TERCERO ARRIBA,RIO TERCERO,"36,352","38,592","40,503","41,933","42,845"
23,349,TERCERO ARRIBA,TANCACHA,"4,605","4,631","4,677","4,818","4,912"
24,351,TOTORAL,CAÑADA DE LUQUE,"1,098","1,113","1,142","1,185","1,188"
24,350,TOTORAL,CANDELARIA,537,422,376,400,390
24,351A,TOTORAL,LA PAMPA,656,664,671,718,729
24,352,TOTORAL,LAS PEÑAS,"1,366","1,446","1,547","1,673","1,715"
24,352A,TOTORAL,LOS MISTOLES,99,118,132,144,149
24,353,TOTORAL,MACHA,210,137,98,76,65
24,354,TOTORAL,SANTA CATALINA,302,266,246,234,251
24,355,TOTORAL,SARMIENTO,809,905,951,"1,088","1,145"
24,356,TOTORAL,SIMBOLAR,328,296,301,319,330
24,357,TOTORAL,SINSACATE,"1,127","1,285","1,465","1,774","1,995"
24,358,TOTORAL,SITON,472,477,491,626,653
24,359,TOTORAL,VILLA DEL TOTORAL,"6,077","6,570","7,230","7,756","8,031"
25,360,TULUMBA,CHURQUI CAÑADA,218,206,183,163,151
25,362,TULUMBA,EL BAÑADO,148,99,63,39,34
25,360A,TULUMBA,EL RODEO,207,202,217,243,243
25,363,TULUMBA,ISLA DE SAN ANTONIO,116,82,69,49,49
25,370A,TULUMBA,LA CAÑADA,60,45,30,28,27
25,364,TULUMBA,LA DORMIDA,"3,518","3,757","4,155","4,459","4,606"
25,360B,TULUMBA,LA TOMA,200,148,115,115,146
25,361,TULUMBA,LAS ARRIAS,"1,522","1,747","1,805","2,046","2,035"
25,365,TULUMBA,LAS MASITAS,60,36,27,16,14
25,366,TULUMBA,LUCIO V MANSILLA,"1,009","1,016","1,079","1,088","1,055"
25,367,TULUMBA,ROSARIO DEL SALADILLO,523,491,468,493,451
25,368,TULUMBA,SAN JOSE DE LAS SALINAS,675,641,646,648,654
25,369,TULUMBA,SAN PEDRO NORTE,545,552,542,587,600
25,370,TULUMBA,SANTA CRUZ,252,172,138,97,92
25,371,TULUMBA,TULUMBA,"1,560","1,662","1,758","1,844","1,899"
26,372,UNION,ALTO ALEGRE,911,922,987,"1,122","1,144"
26,372A,UNION,ANA ZUMARAN,135,126,135,175,202
26,373,UNION,BALLESTEROS,"3,148","3,298","3,406","3,673","3,868"
26,374,UNION,BALLESTEROS SUD,609,644,622,675,854
26,375,UNION,BELL VILLE,"25,942","27,159","29,090","30,587","31,325"
26,376,UNION,BISMARCK,428,433,422,415,420
26,377,UNION,BREMEN,210,183,192,246,239
26,378,UNION,CANALS,"6,973","7,091","7,548","7,708","7,714"
26,379,UNION,CARCANO,36,38,33,17,23
26,382,UNION,CHILIBROSTE,613,601,612,615,653
26,381,UNION,CINTRA,"1,230","1,258","1,272","1,350","1,421"
26,397A,UNION,CORRAL DEL BAJO,163,95,61,13,7
26,385,UNION,ESCALANTE,"1,315","1,338","1,361","1,367","1,348"
26,386,UNION,GOULD,776,696,665,632,628
26,387,UNION,IDIAZABAL,"1,443","1,417","1,464","1,470","1,460"
26,389,UNION,LABORDE,"4,710","4,853","5,005","5,210","5,244"
26,390,UNION,MONTE LEÑA,564,526,517,514,530
26,391,UNION,MONTE MAIZ,"5,823","6,142","6,484","6,600","6,525"
26,392,UNION,MORRISON,"2,931","3,015","3,108","3,317","3,492"
26,393,UNION,NOETINGER,"4,230","4,347","4,377","4,558","4,566"
26,394,UNION,ORDOÑEZ,"2,082","2,169","2,183","2,356","2,381"
26,395,UNION,PASCANAS,"2,255","2,346","2,435","2,474","2,458"
26,396,UNION,POSSE,"6,369","6,757","7,094","7,503","7,678"
26,384,UNION,PUEBLO ITALIANO,"1,562","1,553","1,580","1,585","1,594"
26,397,UNION,SAN ANTONIO,"1,439","1,401","1,422","1,446","1,516"
26,400,UNION,SAN MARCOS SUD,"2,472","2,549","2,601","2,757","2,823"
26,401,UNION,SANTA MARIA,161,157,197,204,226
26,402,UNION,VIAMONTE,"1,540","1,566","1,542","1,574","1,599"
26,396A,UNION,VILLA LOS PATOS,76,61,51,43,34