PROV,DEPTO,NOM_DEPTO,CODLOC,NOMLOC_10,CODMUNI_10,NOMMUNI_10,LONGITUD,LATITUD
14,7,CALAMUCHITA,10,AMBOY,2007,AMBOY,-64.57531753,-32.17641448
14,7,CALAMUCHITA,160,PARQUE CALMAYO,2014,CALMAYO,-64.46414885,-32.02474113
14,7,CALAMUCHITA,30,CA�ADA DEL SAUCE,2021,CA�ADA DEL SAUCE,-64.64021064,-32.36698070
14,7,CALAMUCHITA,60,EMBALSE,7,EMBALSE,-64.40060657,-32.20750931
14,7,CALAMUCHITA,70,LA CRUZ,14,LA CRUZ,-64.48363250,-32.30321892
14,7,CALAMUCHITA,80,LA CUMBRECITA,3015,LA CUMBRECITA,-64.77540536,-31.89683383
14,7,CALAMUCHITA,90,LAS BAJADAS,2028,LAS BAJADAS,-64.33130290,-32.09672546
14,7,CALAMUCHITA,100,LAS CALERAS,2035,LAS CALERAS,-64.52310870,-32.38977836
14,7,CALAMUCHITA,110,LOS CONDORES,21,LOS CONDORES,-64.27859118,-32.32036821
14,7,CALAMUCHITA,120,LOS MOLINOS,2042,LOS MOLINOS,-64.37424250,-31.86070262
14,7,CALAMUCHITA,130,LOS REARTES,2049,LOS REARTES,-64.57394851,-31.90894859
14,7,CALAMUCHITA,40,CAPILLA VIEJA,2049,LOS REARTES,-64.59716832,-31.92611719
14,7,CALAMUCHITA,140,LUTTI,2056,LUTTI,-64.74758983,-32.31886978
14,7,CALAMUCHITA,170,RIO DE LOS SAUCES,28,RIO DE LOS SAUCES,-64.58770672,-32.52842019
14,7,CALAMUCHITA,180,SAN AGUSTIN,56,SAN AGUSTIN,-64.37372796,-31.97667863
14,7,CALAMUCHITA,190,SAN IGNACIO (Loteo San Javier),2063,SAN IGNACIO,-64.51533303,-32.16601069
14,7,CALAMUCHITA,210,SANTA ROSA DE CALAMUCHITA,35,SANTA ROSA DE CALAMUCHITA,-64.53761955,-32.07105590
14,7,CALAMUCHITA,220,SEGUNDA USINA,2070,SEGUNDA USINA,-64.37840477,-32.16604162
14,7,CALAMUCHITA,250,VILLA AMANCAY,2077,VILLA AMANCAY,-64.56855223,-32.18747489
14,7,CALAMUCHITA,230,SOLAR DE LOS MOLINOS,2084,VILLA CIUDAD PARQUE LOS REARTES,-64.54060787,-31.87111403
14,7,CALAMUCHITA,270,VILLA CIUDAD PARQUE LOS REARTES,2084,VILLA CIUDAD PARQUE LOS REARTES,-64.54539858,-31.90871557
14,7,CALAMUCHITA,290,VILLA DEL DIQUE,42,VILLA DEL DIQUE,-64.45590244,-32.17530175
14,7,CALAMUCHITA,310,VILLA GENERAL BELGRANO,49,VILLA GENERAL BELGRANO,-64.55873051,-31.97947506
14,7,CALAMUCHITA,330,VILLA QUILLINZO,2091,VILLA QUILLINZO,-64.51471319,-32.23455540
14,7,CALAMUCHITA,320,VILLA LA RIVERA,2091,VILLA QUILLINZO,-64.52306509,-32.26708843
14,7,CALAMUCHITA,50,EL CORCOVADO - EL TORREON,63,VILLA RUMIPAL,-64.50287536,-32.14512986
14,7,CALAMUCHITA,340,VILLA RUMIPAL,63,VILLA RUMIPAL,-64.47923199,-32.18953519
14,7,CALAMUCHITA,360,VILLA YACANTO,70,VILLA YACANTO,-64.75344897,-32.10447858
14,7,CALAMUCHITA,55,EL DURAZNO,70,VILLA YACANTO,-64.77611413,-32.16735510
14,7,CALAMUCHITA,260,VILLA BERNA,,,-64.72977525,-31.91378064
14,7,CALAMUCHITA,240,VILLA ALPINA,,,-64.81286057,-31.95669078
14,7,CALAMUCHITA,300,VILLA EL TALA,,,-64.58190318,-32.25214550
14,7,CALAMUCHITA,20,ARROYO SAN ANTONIO,,,-64.60735412,-32.25697971
14,14,CAPITAL,10,CORDOBA,77,CORDOBA,-64.18332362,-31.41479153
14,21,COLON,10,AGUA DE ORO,84,AGUA DE ORO,-64.29556543,-31.05918661
14,21,COLON,50,COLONIA CAROYA,91,COLONIA CAROYA,-64.06671750,-31.01819484
14,21,COLON,170,LA PUERTA,98,COLONIA TIROLESA,-64.04089460,-31.14237877
14,21,COLON,60,COLONIA TIROLESA,98,COLONIA TIROLESA,-64.06612291,-31.23799152
14,21,COLON,260,SANTA ELENA,98,COLONIA TIROLESA,-64.07458361,-31.25959658
14,21,COLON,120,ESTACION COLONIA TIROLESA,98,COLONIA TIROLESA,-64.05567842,-31.26580844
14,21,COLON,70,COLONIA VICENTE AG�ERO,2098,COLONIA VICENTE AG�ERO,-64.01850176,-31.02870266
14,21,COLON,110,EL MANZANO,2105,EL MANZANO,-64.29805939,-31.08395384
14,21,COLON,30,CANTERAS EL SAUCE,2105,EL MANZANO,-64.31225521,-31.09384093
14,21,COLON,130,GENERAL PAZ,2112,ESTACION GENERAL PAZ,-64.14099134,-31.13508195
14,21,COLON,320,VILLA LOS LLANOS - JUAREZ CELMAN,105,ESTACION JUAREZ CELMAN,-64.16410035,-31.27522496
14,21,COLON,310,PARQUE NORTE - CIUDAD DE LOS NI�OS - VILLA PASTORA - ALMIRANTE BROWN - GUI�AZU NORTE - 1 DE AGOSTO,105,ESTACION JUAREZ CELMAN,-64.17958900,-31.30706869
14,21,COLON,140,JESUS MARIA,112,JESUS MARIA,-64.09576257,-30.98215580
14,21,COLON,150,LA CALERA,119,LA CALERA,-64.33679673,-31.34512938
14,21,COLON,40,CASA BAMBA,119,LA CALERA,-64.40589174,-31.34931737
14,21,COLON,20,ASCOCHINGA,126,LA GRANJA,-64.27525982,-30.96135036
14,21,COLON,80,CORRAL QUEMADO,126,LA GRANJA,-64.30069254,-31.00753314
14,21,COLON,160,LA GRANJA,126,LA GRANJA,-64.27029122,-31.01404925
14,21,COLON,180,LOS MOLLES,126,LA GRANJA,-64.23735492,-31.01765966
14,21,COLON,190,MALVINAS ARGENTINAS,133,MALVINAS ARGENTINAS,-64.05030815,-31.36867640
14,21,COLON,75,VILLA CORAZON DE MARIA,133,MALVINAS ARGENTINAS,-63.99638124,-31.44353094
14,21,COLON,200,MENDIOLAZA,140,MENDIOLAZA,-64.30382092,-31.26443651
14,21,COLON,210,MI GRANJA,2119,MI GRANJA,-63.99963423,-31.35108496
14,21,COLON,230,RIO CEBALLOS,147,RIO CEBALLOS,-64.30966394,-31.17581827
14,21,COLON,25,BARRIO NUEVO RIO CEBALLOS,147,RIO CEBALLOS,-64.28894712,-31.19830710
14,21,COLON,220,PAJAS BLANCAS,147,RIO CEBALLOS,-64.27814961,-31.21466810
14,21,COLON,240,SALDAN,154,SALDAN,-64.31133663,-31.31237642
14,21,COLON,250,SALSIPUEDES,161,SALSIPUEDES,-64.29064717,-31.13979730
14,21,COLON,270,TINOCO,2728,TINOCO,-63.89136288,-31.12453134
14,21,COLON,280,UNQUILLO,168,UNQUILLO,-64.31772969,-31.23294300
14,21,COLON,175,LAS CORZUELAS,168,UNQUILLO,-64.26301504,-31.24243135
14,21,COLON,290,VILLA ALLENDE,175,VILLA ALLENDE,-64.29499587,-31.29317643
14,21,COLON,90,COUNTRY SAN ISIDRO - COUNTRY CHACRAS DE LA VILLA,175,VILLA ALLENDE,-64.23820817,-31.30247963
14,21,COLON,165,LA MORADA,175,VILLA ALLENDE,-64.26313711,-31.30479050
14,21,COLON,300,VILLA CERRO AZUL,2126,VILLA CERRO AZUL,-64.31972086,-31.07117517
14,28,CRUZ DEL EJE,10,ALTO DE LOS QUEBRACHOS,2133,ALTO DE LOS QUEBRACHOS,-65.03823875,-30.54184693
14,28,CRUZ DEL EJE,20,BA�ADO DE SOTO,2140,BA�ADO DE SOTO,-65.05861491,-30.78897169
14,28,CRUZ DEL EJE,40,CRUZ DE CA�A,2147,CRUZ DE CA�A,-64.94096565,-31.06690120
14,28,CRUZ DEL EJE,50,CRUZ DEL EJE,182,CRUZ DEL EJE,-64.80625553,-30.72271137
14,28,CRUZ DEL EJE,60,EL BRETE,2154,EL BRETE,-64.87459317,-30.67457436
14,28,CRUZ DEL EJE,80,GUANACO MUERTO,2161,GUANACO MUERTO,-65.06209232,-30.47883272
14,28,CRUZ DEL EJE,100,LA BATEA,2168,LA BATEA,-65.30704598,-30.37174060
14,28,CRUZ DEL EJE,110,LA HIGUERA,2175,LA HIGUERA,-65.10310082,-31.01282989
14,28,CRUZ DEL EJE,120,LAS CA�ADAS,2182,LAS CA�ADAS,-64.73435701,-30.91552225
14,28,CRUZ DEL EJE,130,LAS PLAYAS,2189,LAS PLAYAS,-64.84201396,-30.71145148
14,28,CRUZ DEL EJE,140,LOS CHA�ARITOS,2196,LOS CHA�ARITOS (C. D. E.),-64.95569268,-30.55900073
14,28,CRUZ DEL EJE,150,MEDIA NARANJA,2203,MEDIA NARANJA,-64.93250909,-30.63690845
14,28,CRUZ DEL EJE,160,PASO VIEJO,2210,PASO VIEJO,-65.19125544,-30.76760079
14,28,CRUZ DEL EJE,70,EL RINCON,189,SAN MARCOS SIERRAS,-64.64784187,-30.74552725
14,28,CRUZ DEL EJE,90,LA BANDA,189,SAN MARCOS SIERRAS,-64.63822493,-30.77347864
14,28,CRUZ DEL EJE,170,SAN MARCOS SIERRA,189,SAN MARCOS SIERRAS,-64.64170508,-30.78253490
14,28,CRUZ DEL EJE,30,CANTERAS QUILPO,189,SAN MARCOS SIERRAS,-64.69483893,-30.85797427
14,28,CRUZ DEL EJE,180,SERREZUELA,196,SERREZUELA,-65.38681462,-30.63873198
14,28,CRUZ DEL EJE,190,TUCLAME,2217,TUCLAME,-65.23676092,-30.74813084
14,28,CRUZ DEL EJE,200,VILLA DE SOTO,203,VILLA DE SOTO,-64.99756325,-30.85472921
14,35,GENERAL ROCA,30,HIPOLITO BOUCHARD,210,BUCHARDO,-63.50703314,-34.72378560
14,35,GENERAL ROCA,10,DEL CAMPILLO,217,DEL CAMPILLO,-64.49650345,-34.37523925
14,35,GENERAL ROCA,40,HUINCA RENANCO,224,HUINCA RENANCO,-64.37247378,-34.84080227
14,35,GENERAL ROCA,50,ITALO,231,ITALO,-63.78184560,-34.79060950
14,35,GENERAL ROCA,110,SANTA MAGDALENA (JOVITA),238,JOVITA,-63.94329953,-34.51799524
14,35,GENERAL ROCA,60,MATTALDI,245,MATTALDI,-64.17214897,-34.48250396
14,35,GENERAL ROCA,70,NICOLAS BRUZZONE,2224,NICOLAS BRUZZONE,-64.34090689,-34.44032561
14,35,GENERAL ROCA,80,ONAGOITY,2231,ONAGOITY,-63.67211377,-34.77393696
14,35,GENERAL ROCA,90,PINCEN,2238,PINCEN,-63.91667416,-34.83869014
14,35,GENERAL ROCA,100,RANQUELES,2245,RANQUELES,-64.09996653,-34.84272308
14,35,GENERAL ROCA,120,VILLA HUIDOBRO,252,VILLA HUIDOBRO,-64.58404534,-34.83854399
14,35,GENERAL ROCA,130,VILLA SARMIENTO,2252,VILLA SARMIENTO (G. R.),-64.72383973,-34.12258552
14,35,GENERAL ROCA,140,VILLA VALERIA,259,VILLA VALERIA,-64.92056759,-34.34065189
14,35,GENERAL ROCA,20,ESTACION LECUEDER,,,-64.81028104,-34.49526974
14,42,GENERAL SAN MARTIN,10,ARROYO ALGODON,226,ARROYO ALGODON,-63.16267594,-32.20224553
14,42,GENERAL SAN MARTIN,20,ARROYO CABRAL,273,ARROYO CABRAL,-63.40147363,-32.48999224
14,42,GENERAL SAN MARTIN,120,SANABRIA,280,AUSONIA,-63.24897008,-32.52910147
14,42,GENERAL SAN MARTIN,30,AUSONIA,280,AUSONIA,-63.24329647,-32.66230608
14,42,GENERAL SAN MARTIN,40,CHAZON,287,CHAZON,-63.27577122,-33.07763562
14,42,GENERAL SAN MARTIN,50,ETRURIA,294,ETRURIA,-63.24725467,-32.94154001
14,42,GENERAL SAN MARTIN,60,LA LAGUNA,301,LA LAGUNA,-63.24588322,-32.80257755
14,42,GENERAL SAN MARTIN,70,LA PALESTINA,308,LA PALESTINA,-63.40931536,-32.61648742
14,42,GENERAL SAN MARTIN,80,LA PLAYOSA,315,LA PLAYOSA,-63.03127829,-32.10001755
14,42,GENERAL SAN MARTIN,100,LUCA,322,LUCA,-63.47772815,-32.54038153
14,42,GENERAL SAN MARTIN,110,PASCO,329,PASCO,-63.34147773,-32.74759065
14,42,GENERAL SAN MARTIN,130,SILVIO PELLICO,336,SILVIO PELLICO,-62.93105298,-32.25101235
14,42,GENERAL SAN MARTIN,140,TICINO,343,TICINO,-63.43715445,-32.69320332
14,42,GENERAL SAN MARTIN,150,TIO PUJIO,350,TIO PUJIO,-63.35401687,-32.28737448
14,42,GENERAL SAN MARTIN,170,VILLA MARIA,357,VILLA MARIA,-63.24231130,-32.40808284
14,42,GENERAL SAN MARTIN,160,VILLA ALBERTINA,357,VILLA MARIA,-63.18451069,-32.43466675
14,42,GENERAL SAN MARTIN,190,VILLA OESTE,364,VILLA NUEVA,-63.28192066,-32.41683512
14,42,GENERAL SAN MARTIN,180,VILLA NUEVA,364,VILLA NUEVA,-63.24911853,-32.43177387
14,42,GENERAL SAN MARTIN,90,LAS MOJARRAS,,,-63.23305829,-32.30386690
14,49,ISCHILIN,10,AVELLANEDA,2259,AVELLANEDA,-64.20674487,-30.59508545
14,49,ISCHILIN,20,CA�ADA DE RIO PINTO,2266,CA�ADA DE RIO PINTO,-64.21828984,-30.77738826
14,49,ISCHILIN,30,CHU�A,2273,CHU�A,-64.66888072,-30.46845540
14,49,ISCHILIN,40,COPACABANA,2280,COPACABANA,-64.50085176,-30.64334359
14,49,ISCHILIN,50,DEAN FUNES,371,DEAN FUNES,-64.35165741,-30.42387902
14,49,ISCHILIN,110,SAN PEDRO DE TOYOS,371,DEAN FUNES,-64.44692215,-30.45499163
14,49,ISCHILIN,80,LOS POZOS,2287,LOS POZOS,-64.25252587,-30.51887763
14,49,ISCHILIN,90,OLIVARES DE SAN NICOLAS,2294,OLIVARES DE SAN NICOLAS,-64.85360034,-30.60216069
14,49,ISCHILIN,130,VILLA QUILINO,378,QUILINO,-64.47088014,-30.20741004
14,49,ISCHILIN,100,QUILINO,378,QUILINO,-64.49765361,-30.21529893
14,49,ISCHILIN,120,VILLA GUTIERREZ,2301,VILLA GUTIERREZ,-64.16017833,-30.67911930
14,49,ISCHILIN,60,ESQUINA DEL ALAMBRE,,,-64.91043964,-30.60011427
14,56,JUAREZ CELMAN,10,ALEJANDRO ROCA,385,ALEJANDRO ROCA,-63.71762873,-33.35357908
14,56,JUAREZ CELMAN,20,ASSUNTA,2308,ASSUNTA,-63.22564307,-33.63444747
14,56,JUAREZ CELMAN,30,BENGOLEA,392,BENGOLEA,-63.67164063,-33.02757676
14,56,JUAREZ CELMAN,40,CARNERILLO,399,CARNERILLO,-64.02506633,-32.91438238
14,56,JUAREZ CELMAN,50,CHARRAS,406,CHARRAS,-64.04625000,-33.02406304
14,56,JUAREZ CELMAN,60,EL RASTREADOR,2315,EL RASTREADOR,-63.53833581,-33.66527227
14,56,JUAREZ CELMAN,70,GENERAL CABRERA,413,GENERAL CABRERA,-63.87368631,-32.81290925
14,56,JUAREZ CELMAN,80,GENERAL DEHEZA,420,GENERAL DEHEZA,-63.78531521,-32.75595640
14,56,JUAREZ CELMAN,90,HUANCHILLAS,427,HUANCHILLA,-63.63671500,-33.66629897
14,56,JUAREZ CELMAN,100,LA CARLOTA,434,LA CARLOTA,-63.29544617,-33.42126811
14,56,JUAREZ CELMAN,110,LOS CISNES,441,LOS CISNES,-63.47164581,-33.40109602
14,56,JUAREZ CELMAN,120,OLAETA,448,OLAETA,-63.90858517,-33.04450871
14,56,JUAREZ CELMAN,130,PACHECO DE MELO,2322,PACHECO DE MELO,-63.48982574,-33.75766117
14,56,JUAREZ CELMAN,150,SANTA EUFEMIA,462,SANTA EUFEMIA,-63.28317937,-33.17691880
14,56,JUAREZ CELMAN,160,UCACHA,469,UCACHA,-63.50776236,-33.03266592
14,56,JUAREZ CELMAN,170,VILLA REDUCCION,455,VILLA REDUCCION,-63.86179403,-33.20042017
14,63,MARCOS JUAREZ,10,ALEJO LEDESMA,476,ALEJO LEDESMA,-62.62389277,-33.60838039
14,63,MARCOS JUAREZ,20,ARIAS,483,ARIAS,-62.40279269,-33.64221077
14,63,MARCOS JUAREZ,30,CAMILO ALDAO,490,CAMILO ALDAO,-62.09562397,-33.12753856
14,63,MARCOS JUAREZ,40,CAPITAN GENERAL BERNARDO O`HIGGINS,497,CAPITAN GENERAL B. O'HIGGINS,-62.26974685,-33.24823489
14,63,MARCOS JUAREZ,50,CAVANAGH,504,CAVANAGH,-62.33869240,-33.47834433
14,63,MARCOS JUAREZ,60,COLONIA BARGE,2336,COLONIA BARGE,-62.60772471,-33.25786799
14,63,MARCOS JUAREZ,70,COLONIA ITALIANA,511,COLONIA ITALIANA,-62.17896610,-33.31275147
14,63,MARCOS JUAREZ,90,CORRAL DE BUSTOS,518,CORRAL DE BUSTOS,-62.18545745,-33.28265298
14,63,MARCOS JUAREZ,100,CRUZ ALTA,525,CRUZ ALTA,-61.81098492,-33.00801666
14,63,MARCOS JUAREZ,110,GENERAL BALDISSERA,532,GENERAL BALDISSERA,-62.30614895,-33.12121235
14,63,MARCOS JUAREZ,120,GENERAL ROCA,539,GENERAL ROCA,-61.91714689,-32.73152906
14,63,MARCOS JUAREZ,130,GUATIMOZIN,546,GUATIMOZIN,-62.43790158,-33.46166369
14,63,MARCOS JUAREZ,140,INRIVILLE,553,INRIVILLE,-62.23062625,-32.94407820
14,63,MARCOS JUAREZ,150,ISLA VERDE,560,ISLA VERDE,-62.40372379,-33.24005315
14,63,MARCOS JUAREZ,160,LEONES,567,LEONES,-62.29992138,-32.65940617
14,63,MARCOS JUAREZ,80,COLONIA VEINTICINCO,574,LOS SURGENTES,-61.95201343,-32.88794642
14,63,MARCOS JUAREZ,170,LOS SURGENTES,574,LOS SURGENTES,-62.02371289,-32.98540538
14,63,MARCOS JUAREZ,180,MARCOS JUAREZ,581,MARCOS JUAREZ,-62.10188154,-32.69092861
14,63,MARCOS JUAREZ,190,MONTE BUEY,588,MONTE BUEY,-62.45766262,-32.91855284
14,63,MARCOS JUAREZ,210,SAIRA,595,SAIRA,-62.10205658,-32.40781442
14,63,MARCOS JUAREZ,220,SALADILLO,2343,SALADILLO,-62.34288627,-32.93418250
14,63,MARCOS JUAREZ,230,VILLA ELISA,2350,VILLA ELISA,-62.29401461,-32.83382242
